content,grade
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1.5
Vestibulum ac est lacinia nisi venenatis tristique.,4.6
Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2.1
Fusce consequat.,4.6
Cras pellentesque volutpat dui.,4.0
Integer ac leo.,1.4
Nulla tellus. In sagittis dui vel nisl.,2.4
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,3.2
Nunc purus.,4.7
Integer ac neque. Duis bibendum.,4.5
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",4.5
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3.7
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3.7
Sed vel enim sit amet nunc viverra dapibus.,2.1
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3.8
Maecenas tincidunt lacus at velit.,1.8
Integer a nibh. In quis justo.,3.1
Sed ante.,4.8
Aliquam erat volutpat. In congue.,1.2
Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2.1
Pellentesque at nulla.,1.3
"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.1
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1.8
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",3.4
Cras pellentesque volutpat dui.,4.2
Aliquam non mauris.,4.0
Vivamus vestibulum sagittis sapien.,2.4
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4.6
Nam tristique tortor eu pede.,4.1
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3.6
Pellentesque eget nunc.,4.5
Phasellus in felis.,1.4
Pellentesque ultrices mattis odio.,2.4
Nunc rhoncus dui vel sem.,2.4
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2.5
Pellentesque ultrices mattis odio.,1.3
Phasellus sit amet erat.,1.4
Nulla tempus.,3.6
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2.4
Morbi quis tortor id nulla ultrices aliquet.,1.8
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",3.2
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.2
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3.2
Suspendisse accumsan tortor quis turpis. Sed ante.,1.9
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",3.5
Ut tellus.,1.5
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,3.7
Maecenas tincidunt lacus at velit.,1.6
Mauris ullamcorper purus sit amet nulla.,4.2
Integer ac neque. Duis bibendum.,2.0
In eleifend quam a odio. In hac habitasse platea dictumst.,1.6
Praesent blandit.,4.5
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,4.7
Integer ac neque.,2.0
Suspendisse potenti.,4.8
Integer a nibh. In quis justo.,2.5
Vivamus in felis eu sapien cursus vestibulum.,4.7
"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.3
Integer a nibh. In quis justo.,1.4
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",4.9
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2.5
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",3.7
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2.2
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.7
Duis bibendum. Morbi non quam nec dui luctus rutrum.,4.7
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.7
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,2.4
Proin risus.,3.0
Sed ante.,4.9
Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,3.3
"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1.8
"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.4
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.6
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,2.2
Ut tellus. Nulla ut erat id mauris vulputate elementum.,4.4
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2.9
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,3.3
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",5.0
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4.1
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4.1
Morbi non lectus.,2.6
In congue.,1.9
"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1.9
In congue.,1.4
Nulla nisl. Nunc nisl.,2.6
Donec semper sapien a libero. Nam dui.,2.3
Aenean auctor gravida sem.,4.1
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4.9
Nullam molestie nibh in lectus.,4.9
"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",4.1
Morbi a ipsum.,2.5
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2.6
Aenean lectus. Pellentesque eget nunc.,4.6
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,3.5
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",4.2
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.3
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3.3
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",5.0
Nulla tellus. In sagittis dui vel nisl.,1.4
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2.5
Sed sagittis.,4.7
Morbi non lectus.,3.2
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2.6
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,5.0
Curabitur in libero ut massa volutpat convallis.,1.9
Sed ante. Vivamus tortor.,1.1
Aliquam quis turpis eget elit sodales scelerisque.,3.2
Nunc purus. Phasellus in felis.,2.1
Nulla tempus.,1.8
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.7
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.1
Aenean lectus. Pellentesque eget nunc.,2.2
Morbi quis tortor id nulla ultrices aliquet.,2.3
Morbi a ipsum.,1.3
Duis mattis egestas metus. Aenean fermentum.,3.7
Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,4.1
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,4.1
Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,4.7
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2.2
"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3.2
Donec ut dolor.,1.7
Integer ac neque. Duis bibendum.,4.8
Proin at turpis a pede posuere nonummy.,1.0
Morbi a ipsum.,1.7
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3.0
"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1.8
Quisque porta volutpat erat.,2.8
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1.1
Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1.7
Donec ut mauris eget massa tempor convallis.,2.0
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",3.9
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2.3
Pellentesque eget nunc.,2.5
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",3.4
Nam nulla.,4.4
Integer non velit.,4.3
Morbi ut odio.,1.9
Duis at velit eu est congue elementum.,1.1
Praesent blandit.,3.2
Aenean sit amet justo. Morbi ut odio.,3.4
Sed ante. Vivamus tortor.,3.0
Nunc rhoncus dui vel sem.,3.4
Nulla tempus.,2.1
Curabitur in libero ut massa volutpat convallis.,3.0
Etiam justo. Etiam pretium iaculis justo.,1.9
Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1.1
Nullam varius. Nulla facilisi.,2.8
Cras in purus eu magna vulputate luctus.,4.0
Morbi non quam nec dui luctus rutrum.,1.9
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",4.9
Quisque ut erat. Curabitur gravida nisi at nibh.,4.9
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2.6
Proin at turpis a pede posuere nonummy. Integer non velit.,3.5
Duis consequat dui nec nisi volutpat eleifend.,1.5
Morbi non quam nec dui luctus rutrum. Nulla tellus.,5.0
Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2.9
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,2.7
Aenean lectus.,3.3
Nulla justo.,1.5
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",3.9
Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,2.2
Donec ut dolor.,4.7
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1.7
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2.8
In hac habitasse platea dictumst.,3.5
Suspendisse accumsan tortor quis turpis. Sed ante.,1.8
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.5
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2.5
Aliquam sit amet diam in magna bibendum imperdiet.,2.3
Sed accumsan felis.,4.6
Quisque ut erat. Curabitur gravida nisi at nibh.,2.9
Vivamus in felis eu sapien cursus vestibulum.,2.1
Maecenas tincidunt lacus at velit.,4.5
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2.4
Donec ut dolor.,4.1
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3.8
"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",4.3
In eleifend quam a odio.,1.1
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2.8
Suspendisse accumsan tortor quis turpis. Sed ante.,4.5
Etiam justo.,4.6
Ut tellus. Nulla ut erat id mauris vulputate elementum.,2.5
Etiam justo. Etiam pretium iaculis justo.,2.3
Aliquam non mauris.,3.5
Duis bibendum. Morbi non quam nec dui luctus rutrum.,1.2
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1.6
Aenean sit amet justo. Morbi ut odio.,3.7
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",4.2
Nulla mollis molestie lorem. Quisque ut erat.,2.0
Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1.6
Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1.3
Pellentesque eget nunc.,1.6
Donec vitae nisi.,4.6
Proin at turpis a pede posuere nonummy. Integer non velit.,4.9
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.9
Etiam vel augue. Vestibulum rutrum rutrum neque.,3.3
Aliquam non mauris.,4.4
Maecenas ut massa quis augue luctus tincidunt.,3.6
Vestibulum sed magna at nunc commodo placerat.,3.7
Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1.2
Etiam vel augue. Vestibulum rutrum rutrum neque.,2.1
Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,2.3
Vivamus vel nulla eget eros elementum pellentesque.,3.1
"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1.4
Donec semper sapien a libero.,4.3
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",4.4
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",3.7
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1.5
In quis justo.,2.6
Etiam vel augue.,1.6
